Inscricao;NFTitulos;Perfil
1000393;8,000;AN01
1011478;8,000;AN01
1000102;5,500;AN01
1011036;5,000;AN01
1003090;3,000;AN01
1008493;2,000;AN01
1003465;8,500;AN01
1003777;4,000;AN01
1007384;8,000;AN01
1011551;8,000;AN01
1007557;3,000;AN01
1007650;0,000;AN01
1010406;8,000;AN01
1014119;8,000;AN01
1014115;0,000;AN01
1010657;0,000;AN01
1012524;3,000;AN01
1001874;0,000;AN01
1007019;4,000;AN01
1003839;4,000;AN01
1011081;6,000;AN01
1008490;4,000;AN01
1000654;8,000;AN01
1003679;10,000;AN01
1003135;3,000;AN01
1014643;5,000;AN01
1006250;3,000;AN01
1002946;3,000;AN01
1006158;8,000;AN01
1009782;5,000;AN01
1011415;0,000;AN01
1012112;5,000;AN01
1006254;0,000;AN01
1013523;7,000;AN01
1003467;9,000;AN01
1009790;0,000;AN01
1001758;0,000;AN01
1007451;4,000;AN01
1013144;0,000;AN01
1009272;5,000;AN01
1002409;0,000;AN01
1012323;8,000;AN01
1004105;3,000;AN01
1007160;5,000;AN01
1010600;10,000;AN01
1003859;5,000;AN01
1011903;8,000;AN01
1012917;8,000;AN01
1008266;8,000;AN01
1009992;3,000;AN01
1005925;5,000;AN01
1007607;0,000;AN01
1007579;5,000;AN01
1005381;5,000;AN01
1000875;0,000;AN01
1007418;8,000;AN01
1012162;2,000;AN01
1004496;3,000;AN01
1010535;3,000;AN01
1000761;6,000;AN02
1004250;3,000;AN02
1000751;5,000;AN02
1001337;4,000;AN02
1004291;4,000;AN02
1014150;8,000;AN02
1007290;3,000;AN02
1000186;3,000;AN02
1002696;3,000;AN02
1003064;0,000;AN02
1006643;7,000;AN02
1011071;8,000;AN02
1005509;3,000;AN02
1007213;0,000;AN02
1000582;5,000;AN02
1002706;3,000;AN02
1000826;3,000;AN02
1010224;0,000;AN02
1001618;8,500;AN02
1011395;4,000;AN02
1002020;3,000;AN02
1007647;0,000;AN02
1001582;3,000;AN02
1011492;0,000;AN02
1013920;0,000;AN02
1010208;0,000;AN02
1003564;6,000;AN02
1012905;3,000;AN02
1002549;0,000;AN02
1006446;3,000;AN02
1010110;0,000;AN02
1001854;4,000;AN02
1012954;0,000;AN02
1014429;0,000;AN02
1008760;3,000;AN02
1009351;6,500;AN02
1009754;3,000;AN02
1011193;3,000;AN02
1000061;0,000;AN02
1000642;5,000;AN02
1000309;0,000;AN02
1008470;0,000;AN02
1012128;0,000;AN02
1009082;0,000;AN02
1003225;6,000;AN02
1012967;3,000;AN02
1011976;8,000;AN02
1012475;8,000;AN02
1005885;0,000;AN02
1011146;0,000;AN02
1012401;3,500;AN02
1007930;0,000;AN02
1004646;0,000;AN02
1005080;0,000;AN02
1002171;3,000;AN02
1003047;0,000;AN02
1004359;0,000;AN02
1002455;0,000;AN02
1006205;3,000;AN02
1003782;5,000;AN02
1000229;3,000;AN02
1009886;0,000;AN02
1007561;0,000;AN02
1011803;0,000;AN02
1001379;0,000;AN02
1007539;0,000;AN02
1007280;3,000;AN02
1012701;0,000;AN02
1012744;3,000;AN02
1012891;8,000;AN02
1009136;3,000;AN02
1006934;8,000;AN02
1011389;0,000;AN02
1008590;0,500;AN02
1005730;4,000;AN02
1005785;8,000;AN02
1002975;8,000;AN02
1003696;0,000;AN02
1013426;3,000;AN02
1011866;5,000;AN02
1011165;3,000;AN02
1006763;3,500;AN02
1009090;8,000;AN03
1007471;5,000;AN03
1003133;8,000;AN03
1011498;9,000;AN03
1000049;8,500;AN03
1001288;8,000;AN03
1006435;8,500;AN03
1007039;9,500;AN03
1000248;8,000;AN03
1000598;8,000;AN03
1000942;8,000;AN03
1004335;5,000;AN03
1000576;7,000;AN03
1001760;8,500;AN03
1010357;4,000;AN03
1006806;5,000;AN03
1007862;2,000;AN03
1000401;8,000;AN03
1002044;5,000;AN03
1008929;0,000;AN03
1000758;8,000;AN03
1011240;8,000;AN03
1011807;8,000;AN03
1000247;5,000;AN03
1012534;8,000;AN04
1007358;8,000;AN04
1007919;5,000;AN04
1005653;9,000;AN04
1013048;4,000;AN04
1006980;10,000;AN04
1003687;5,000;AN04
1002682;3,000;AN04
1000349;4,000;AN04
1010440;5,000;AN04
1003817;5,000;AN04
1000366;0,000;AN04
1001730;0,000;AN04
1002817;2,000;AN04
1006777;0,000;AN04
1007516;5,000;AN04
1011105;5,000;AN04
1011995;8,000;AN04
1013424;0,000;AN04
1014109;4,000;AN04
1000498;8,000;AN04
1001037;8,500;AN04
1010122;0,000;AN04
1011888;5,000;AN04
1001962;0,000;AN04
1010588;3,000;AN04
1009280;10,000;AN05
1005390;7,000;AN05
1008259;7,000;AN05
1011972;9,500;AN05
1011419;4,500;AN05
1008203;4,000;AN05
1002411;0,000;AN05
1000359;0,000;AN05
1008846;3,000;AN06
1000437;5,500;AN06
1000237;3,000;AN06
1007494;0,000;AN06
1001501;7,000;AN06
1003566;0,000;AN06
1005656;3,000;AN06
1006774;0,000;AN06
1009475;2,000;AN06
1003565;4,000;AN06
1004841;0,000;AN06
1002438;3,000;AN06
1002787;7,000;AN06
1006026;3,000;AN06
1011728;0,000;AN06
1010111;9,000;AN06
1013308;3,000;AN06
1002204;5,000;AN06
1012371;3,500;AN06
1006588;4,000;AN06
1014810;0,000;AN06
1011457;3,000;AN06
1011752;6,000;AN06
1001441;0,000;AN06
1007456;8,000;AN06
1011952;0,000;AN07
1001956;10,000;AN07
1001587;3,000;AN07
1013897;3,000;AN07
1008200;0,000;AN07
1009042;9,000;AN07
1006117;5,000;AN08
1001507;3,000;AN08
1008739;0,000;AN08
1002820;0,000;AN08
1013130;0,000;AN08
1011349;1,000;AN08
1011169;1,000;AN08
1014125;7,500;AN08
1006897;2,000;AN08
1014890;8,500;AN08
1004357;4,000;AN08
1001129;10,000;AN08
1004953;4,000;AN08
1013882;4,500;AN08
1011937;7,500;AN08
1007922;5,500;AN08
1010734;10,000;AN08
1010251;7,000;AN08
1002672;8,000;AN08
1005326;0,000;AN08
1010912;0,000;AN08
1009093;10,000;AN08
1005434;6,000;AN08
1002695;5,000;AN08
1014676;0,000;AN08
1009078;8,000;AN09
1002631;3,000;AN09
1012667;4,000;AN09
1002964;0,000;AN09
1013477;0,000;AN09
1000246;5,000;AN09
1004763;3,000;AN09
1005959;3,000;AN09
1001151;3,000;AN09
1007571;10,000;AN09
1012264;10,000;AN09
1008977;5,000;AN09
1008097;0,000;AN09
1006246;3,000;AN09
1000274;6,000;AN10
1007661;8,000;AN10
1002828;3,000;AN10
1012863;8,000;AN10
1001535;0,000;AN10
1007131;10,000;AN10
1008399;5,000;AN10
1012010;0,000;AN10
1008127;5,000;AN10
1000126;5,000;AN10
1012835;5,000;AN11
1008124;1,000;AN11
1008714;9,500;AN11
1012295;8,000;AN11
1005534;5,000;AN11
1003238;8,000;AN12
1007659;0,000;AN13
1002097;3,000;AN13
1012068;3,000;AN14
1002264;10,000;AN15
1011806;3,000;AN15
1000775;10,000;AN15
1014129;5,000;AN15
1013392;3,000;AN16
1010068;3,000;AN16
1007727;4,000;AN16
1001645;8,000;AN16
1001997;9,500;AN16
1009086;0,000;AN16
1000734;8,000;AN16
1001746;3,000;AN16
1006372;0,000;AN17
1009007;0,000;AN17
1010037;8,000;AN17
1004613;5,000;AN18
1000671;8,000;AN18
1005908;0,000;AN18
1002833;3,000;AN19
1008583;2,000;AN19
1004216;5,000;AN19
1002280;3,000;AN19
1002902;3,000;AN19
1006792;5,000;AN20
1006074;0,000;AN20
1003069;5,000;AN20
1010908;5,000;AN20
1010755;5,000;AN20
1009060;0,000;AN20
1000310;10,000;AN20
1001623;5,000;AN20
1004530;0,000;AN21
1003315;3,000;AN21
1014561;0,000;AN21
1000964;8,000;AN21
1000261;3,000;AN21
1002583;3,500;AN21
1000281;3,000;AN21
1000516;0,000;AN22
1001709;0,000;AN22
1010742;3,000;AN22
1000994;8,000;AN22
1007217;0,000;AN22
1000483;8,000;AN23
1010243;3,000;AN23
1001478;8,000;AN23
1000686;3,000;AN24
1003985;5,000;AN24
1006909;3,000;AN24
1008794;5,000;AN24
1000756;8,000;AN24
1012950;8,000;AN24
1001848;3,000;AN24
1007639;0,000;AN25
1004093;8,000;AN25
1009753;6,000;AN26
1004143;3,000;AN26
1010587;0,000;AN26
1003736;3,000;AN26
1009870;0,000;AN26
1012230;8,500;AN26
1000500;0,000;AN27
1000292;2,000;AN27
1000385;3,000;AN27
1001355;0,000;AN27
1003383;5,000;AN28
1000608;5,000;AN28
1013986;3,500;AN28
1013981;9,000;AN28
1008066;0,000;AN28
1000344;0,000;AN28
1000829;6,000;AN29
1006007;6,500;AN29
1005824;8,000;AN29
1002748;4,500;AN29
1003200;8,000;AN29
1001245;4,000;AN29
1005499;0,000;AN30
1000859;8,000;AN30
1013872;8,000;AN30
1011304;7,000;AN30
1004053;3,500;AN30
1000721;5,000;AN31
1000631;0,000;AN31
1001583;10,000;AN31
1009836;7,000;AN31
1014153;3,000;AN31
1001338;8,000;AN32
1007819;9,000;AN32
1005424;8,000;AN32
1008928;4,000;AN32
1010181;8,000;AN32
1014365;10,000;AN32
1000562;8,000;AN32
1013795;3,500;AN32
1008064;6,000;AN33
1000178;0,000;AN33
1000998;3,000;AN33
1005454;8,000;AN33
1013649;0,000;AN33
1001935;0,000;AN33
1009382;8,000;AN33
1003774;3,000;AN33
1001778;3,000;AN34
1010434;8,000;AN34
1006260;4,000;AN34
1009204;5,000;AN34
1006729;3,000;AN34
1011822;3,000;AN35
1010656;3,000;AN35
1000662;7,500;AN35
1010739;0,000;AN35
1011082;3,000;AN35
1004737;5,000;AN35
1013407;5,000;AN36
1003695;5,000;AN36
1005012;2,000;AN37
1003758;5,000;AN37
1000626;0,000;AN37
1000749;2,000;AN38
1011267;3,000;AN39
