Cargo;Class;Inscrição;Concorre Vagas Negros;Concorre Vagas PCD;NFObj;Selecionado para correção da prova discursiva
AN01;1;1000393;S;N;57;Sim
AN01;2;1012521;N;N;57;Sim
AN01;3;1003679;S;N;56;Sim
AN01;4;1007579;S;N;56;Sim
AN01;5;1002302;N;N;56;Sim
AN01;6;1010600;N;N;55;Sim
AN01;7;1000492;N;N;55;Sim
AN01;8;1011478;N;N;55;Sim
AN01;9;1001874;N;N;54;Sim
AN01;10;1003465;N;N;53;Sim
AN01;11;1011551;N;N;53;Sim
AN01;12;1007384;S;N;53;Sim
AN01;13;1009790;N;N;53;Sim
AN01;14;1006323;N;N;53;Sim
AN01;15;1013144;N;N;53;Sim
AN01;16;1005143;N;N;53;Sim
AN01;17;1011081;N;N;53;Sim
AN01;18;1011036;S;N;53;Sim
AN01;19;1008490;N;N;52;Sim
AN01;20;1014119;N;N;52;Sim
AN01;21;1011903;N;N;52;Sim
AN01;22;1001541;N;N;52;Sim
AN01;23;1012323;N;S;52;Sim
AN01;24;1011358;N;N;52;Sim
AN01;25;1008895;N;N;52;Sim
AN01;26;1012291;S;N;52;Sim
AN01;27;1000654;S;N;52;Sim
AN01;28;1003251;S;N;52;Sim
AN01;29;1010272;S;N;52;Sim
AN01;30;1001153;N;N;52;Sim
AN01;31;1005925;N;N;52;Sim
AN01;32;1000072;S;N;52;Sim
AN01;33;1008302;N;N;52;Sim
AN01;34;1010535;N;N;52;Sim
AN01;35;1000530;S;N;51;Sim
AN01;36;1009487;S;N;51;Sim
AN01;37;1003135;N;N;51;Sim
AN01;38;1002946;S;N;51;Sim
AN01;39;1011415;N;N;51;Sim
AN01;40;1012524;N;N;51;Sim
AN01;41;1002409;N;N;51;Sim
AN01;42;1010979;N;N;51;Sim
AN01;43;1000444;S;N;50;Sim
AN01;44;1006895;N;N;50;Sim
AN01;45;1002232;N;N;50;Sim
AN01;46;1005438;N;N;50;Sim
AN01;47;1010947;N;N;50;Sim
AN01;48;1003090;N;N;50;Sim
AN01;49;1001682;N;N;50;Sim
AN01;50;1014707;N;N;50;Sim
AN01;51;1007418;N;N;50;Sim
AN01;52;1000529;S;N;50;Sim
AN01;53;1008266;N;N;50;Sim
AN01;54;1010406;S;N;50;Sim
AN01;55;1000056;S;N;50;Sim
AN01;56;1001758;S;N;49;Sim
AN01;57;1007451;N;N;49;Sim
AN01;58;1012162;N;N;49;Sim
AN01;59;1007607;N;N;49;Sim
AN01;60;1012731;S;N;49;Sim
AN01;61;1012392;S;N;49;Sim
AN01;62;1000875;N;N;49;Sim
AN01;63;1000556;S;N;49;Sim
AN01;64;1008493;N;N;49;Sim
AN01;65;1014115;N;N;48;Sim
AN01;66;1013128;N;N;48;Sim
AN01;67;1000102;N;N;48;Sim
AN01;68;1008574;N;N;48;Sim
AN01;69;1000880;N;N;48;Sim
AN01;70;1009992;S;N;48;Sim
AN01;71;1007019;N;N;48;Sim
AN01;72;1009595;N;N;48;Sim
AN01;73;1002650;N;N;48;Sim
AN01;74;1003467;N;N;48;Sim
AN01;75;1006254;N;N;48;Sim
AN01;76;1000059;S;N;48;Sim
AN01;77;1005381;N;N;48;Sim
AN01;78;1001561;N;N;48;Sim
AN01;79;1004586;S;N;48;Sim
AN01;80;1003723;N;N;48;Sim
AN01;81;1010657;N;N;48;Sim
AN01;82;1007085;N;N;47;Não
AN01;83;1001585;N;N;47;Não
AN01;84;1000609;N;N;47;Não
AN01;85;1011041;N;N;47;Não
AN01;86;1001289;N;N;47;Não
AN01;87;1010166;N;N;47;Não
AN01;88;1012803;N;N;47;Não
AN01;89;1008644;N;N;47;Não
AN01;90;1007508;N;N;47;Não
AN01;91;1001661;N;N;47;Não
AN01;92;1008993;N;N;47;Não
AN01;93;1003337;N;N;47;Não
AN01;94;1003767;N;N;47;Não
AN01;95;1014643;S;N;47;Sim
AN01;96;1002464;N;N;47;Não
AN01;97;1005663;S;N;47;Sim
AN01;98;1004150;N;N;46;Não
AN01;99;1012917;N;S;46;Sim
AN01;100;1010426;N;N;46;Não
AN01;101;1004529;S;N;46;Sim
AN01;102;1006899;N;N;46;Não
AN01;103;1010195;N;N;46;Não
AN01;104;1001300;N;N;46;Não
AN01;105;1011243;N;N;46;Não
AN01;106;1009703;N;N;46;Não
AN01;107;1011672;N;N;46;Não
AN01;108;1009543;N;N;46;Não
AN01;109;1012976;N;N;46;Não
AN01;110;1002812;N;N;46;Não
AN01;111;1002852;N;N;46;Não
AN01;112;1001147;N;N;46;Não
AN01;113;1011826;N;N;46;Não
AN01;114;1010264;N;N;46;Não
AN01;115;1010492;N;N;46;Não
AN01;116;1009272;S;N;46;Sim
AN01;117;1008886;N;N;45;Não
AN01;118;1005626;N;N;45;Não
AN01;119;1005260;N;N;45;Não
AN01;120;1007736;S;N;45;Sim
AN01;121;1005197;N;N;45;Não
AN01;122;1006389;N;N;45;Não
AN01;123;1005007;N;N;45;Não
AN01;124;1012112;S;N;45;Sim
AN01;125;1009872;S;N;45;Sim
AN01;126;1013611;S;N;45;Sim
AN01;127;1001752;N;N;45;Não
AN01;128;1008666;N;N;45;Não
AN01;129;1000232;N;N;45;Não
AN01;130;1000433;N;N;45;Não
AN01;131;1010894;N;N;45;Não
AN01;132;1002341;N;N;45;Não
AN01;133;1009146;N;N;45;Não
AN01;134;1011809;N;N;45;Não
AN01;135;1001671;S;N;45;Sim
AN01;136;1011871;N;N;45;Não
AN01;137;1010279;N;N;45;Não
AN01;138;1011486;N;N;44;Não
AN01;139;1012620;S;N;44;Sim
AN01;140;1011003;N;N;44;Não
AN01;141;1010603;N;N;44;Não
AN01;142;1013593;N;N;44;Não
AN01;143;1000369;N;N;44;Não
AN01;144;1007582;N;N;44;Não
AN01;145;1000442;S;N;44;Sim
AN01;146;1010172;N;N;44;Não
AN01;147;1010730;N;N;44;Não
AN01;148;1003859;S;N;44;Sim
AN01;149;1007398;N;N;44;Não
AN01;150;1000592;N;N;44;Não
AN01;151;1004083;N;N;44;Não
AN01;152;1006133;N;N;44;Não
AN01;153;1007557;S;N;44;Sim
AN01;154;1003839;S;N;44;Sim
AN01;155;1001839;N;N;44;Não
AN01;156;1001435;S;N;43;Sim
AN01;157;1003824;S;N;43;Sim
AN01;158;1009098;S;N;43;Sim
AN01;159;1010332;N;N;43;Não
AN01;160;1001822;N;N;43;Não
AN01;161;1006986;N;N;43;Não
AN01;162;1007171;N;N;43;Não
AN01;163;1003934;S;N;43;Sim
AN01;164;1011851;N;N;43;Não
AN01;165;1010045;N;N;43;Não
AN01;166;1007010;N;N;43;Não
AN01;167;1012800;N;N;43;Não
AN01;168;1007160;S;N;43;Sim
AN01;169;1006912;N;N;43;Não
AN01;170;1008817;N;N;43;Não
AN01;171;1000290;N;N;43;Não
AN01;172;1003231;N;N;43;Não
AN01;173;1001663;N;N;43;Não
AN01;174;1012018;S;N;43;Sim
AN01;175;1003777;S;N;43;Sim
AN01;176;1007725;N;N;43;Não
AN01;177;1001190;S;N;42;Sim
AN01;178;1009291;N;N;42;Não
AN01;179;1009448;N;N;42;Não
AN01;180;1000982;N;N;42;Não
AN01;181;1005963;N;N;42;Não
AN01;182;1000713;N;N;42;Não
AN01;183;1003215;N;N;42;Não
AN01;184;1013205;N;N;42;Não
AN01;185;1002612;S;N;42;Sim
AN01;186;1006493;N;N;42;Não
AN01;187;1013909;N;N;42;Não
AN01;188;1002465;N;N;42;Não
AN01;189;1013025;N;N;42;Não
AN01;190;1001242;N;N;42;Não
AN01;191;1009782;S;N;42;Sim
AN01;192;1003925;S;N;42;Sim
AN01;193;1000418;N;N;42;Não
AN01;194;1003446;N;N;42;Não
AN01;195;1000380;S;N;42;Sim
AN01;196;1014598;N;N;42;Não
AN01;197;1002656;N;N;42;Não
AN01;198;1005946;N;N;42;Não
AN01;199;1012971;N;N;42;Não
AN01;200;1008935;N;N;42;Não
AN01;201;1010214;N;N;42;Não
AN01;202;1006144;N;N;42;Não
AN01;203;1012906;N;N;42;Não
AN01;204;1000086;S;N;42;Sim
AN01;205;1006250;S;N;42;Sim
AN01;206;1009160;S;N;42;Sim
AN01;207;1001632;N;N;41;Não
AN01;208;1007129;N;N;41;Não
AN01;209;1014335;N;N;41;Não
AN01;210;1002883;N;N;41;Não
AN01;211;1007222;N;N;41;Não
AN01;212;1010125;S;N;41;Sim
AN01;213;1013289;N;N;41;Não
AN01;214;1009533;N;N;41;Não
AN01;215;1000055;N;N;41;Não
AN01;216;1004016;N;N;41;Não
AN01;217;1011360;N;N;40;Não
AN01;218;1006607;N;N;40;Não
AN01;219;1002574;N;N;40;Não
AN01;220;1008804;S;N;40;Sim
AN01;221;1006510;N;N;40;Não
AN01;222;1012185;N;N;40;Não
AN01;223;1012476;S;N;40;Sim
AN01;224;1011612;N;N;40;Não
AN01;225;1006456;N;N;40;Não
AN01;226;1012316;N;N;40;Não
AN01;227;1010791;N;N;40;Não
AN01;228;1003874;N;N;40;Não
AN01;229;1004587;N;N;40;Não
AN01;230;1013267;S;N;39;Sim
AN01;231;1003471;N;N;39;Não
AN01;232;1011096;N;N;39;Não
AN01;233;1009331;N;N;39;Não
AN01;234;1004883;N;N;39;Não
AN01;235;1001916;N;N;39;Não
AN01;236;1012458;S;N;39;Sim
AN01;237;1009084;S;N;39;Sim
AN01;238;1005720;N;N;39;Não
AN01;239;1008937;N;N;39;Não
AN01;240;1014679;N;N;39;Não
AN01;241;1005870;S;N;39;Sim
AN01;242;1010537;S;N;38;Sim
AN01;243;1009920;N;N;38;Não
AN01;244;1002771;N;N;38;Não
AN01;245;1007650;S;N;38;Sim
AN01;246;1009541;N;N;38;Não
AN01;247;1002728;N;N;38;Não
AN01;248;1011201;N;N;38;Não
AN01;249;1009103;S;N;38;Sim
AN01;250;1010403;N;N;38;Não
AN01;251;1012279;S;N;38;Sim
AN01;252;1009224;S;N;38;Sim
AN01;253;1014174;N;N;37;Não
AN01;254;1007948;N;N;37;Não
AN01;255;1001415;S;N;37;Sim
AN01;256;1010597;S;N;37;Sim
AN01;257;1013523;S;N;37;Sim
AN01;258;1000563;N;N;37;Não
AN01;259;1003539;N;N;37;Não
AN01;260;1003868;N;N;37;Não
AN01;261;1004496;S;N;37;Sim
AN01;262;1010390;S;N;37;Sim
AN01;263;1001074;N;N;37;Não
AN01;264;1007726;N;N;37;Não
AN01;265;1014813;S;N;36;Sim
AN01;266;1008026;N;N;36;Não
AN01;267;1006088;S;N;36;Sim
AN01;268;1014446;N;N;36;Não
AN01;269;1006158;S;N;36;Sim
AN01;270;1011956;N;N;36;Não
AN01;271;1011178;N;N;36;Não
AN01;272;1001105;S;N;36;Sim
AN01;273;1005265;N;N;36;Não
AN01;274;1000082;N;N;36;Não
AN01;275;1006645;N;N;36;Não
AN01;276;1002439;S;N;36;Sim
AN01;277;1011879;N;N;36;Não
AN01;278;1000620;N;N;35;Não
AN01;279;1005313;N;N;35;Não
AN01;280;1013583;N;N;35;Não
AN01;281;1013841;S;N;34;Sim
AN01;282;1012012;N;N;34;Não
AN01;283;1007926;S;N;34;Sim
AN01;284;1012797;N;N;34;Não
AN01;285;1010205;N;N;33;Não
AN01;286;1004707;S;N;33;Sim
AN01;287;1013762;N;N;33;Não
AN01;288;1009428;N;N;32;Não
AN01;289;1009535;N;N;32;Não
AN01;290;1010786;N;N;32;Não
AN01;291;1003860;N;N;32;Não
AN01;292;1006130;N;S;32;Sim
AN01;293;1004470;N;N;32;Não
AN01;294;1004105;S;N;31;Sim
AN01;295;1006967;S;N;31;Sim
AN01;296;1006708;N;N;31;Não
AN01;297;1005116;N;N;30;Não
AN01;298;1008958;N;N;30;Não
AN01;299;1005314;S;N;30;Sim
AN01;300;1003348;N;N;30;Não
AN01;301;1002353;N;N;30;Não
AN01;302;1005545;N;N;30;Não
AN02;1;1006807;S;N;52;Sim
AN02;2;1002472;N;N;50;Sim
AN02;3;1002455;N;N;50;Sim
AN02;4;1000229;N;N;49;Sim
AN02;5;1003225;S;N;49;Sim
AN02;6;1006205;N;N;49;Sim
AN02;7;1001379;N;N;49;Sim
AN02;8;1003047;N;N;48;Sim
AN02;9;1000642;N;N;48;Sim
AN02;10;1007213;S;N;48;Sim
AN02;11;1001337;N;N;48;Sim
AN02;12;1000826;N;N;48;Sim
AN02;13;1006446;N;S;48;Sim
AN02;14;1010385;N;N;48;Sim
AN02;15;1008638;N;N;47;Sim
AN02;16;1011492;S;N;47;Sim
AN02;17;1007704;N;N;47;Sim
AN02;18;1003564;N;N;47;Sim
AN02;19;1009754;N;N;47;Sim
AN02;20;1012744;S;N;47;Sim
AN02;21;1009819;N;N;47;Sim
AN02;22;1001992;N;N;47;Sim
AN02;23;1008470;N;N;47;Sim
AN02;24;1002696;S;N;47;Sim
AN02;25;1012954;N;N;47;Sim
AN02;26;1004250;N;N;47;Sim
AN02;27;1000835;N;N;46;Sim
AN02;28;1001618;N;N;46;Sim
AN02;29;1007290;N;N;46;Sim
AN02;30;1011071;N;N;46;Sim
AN02;31;1000761;N;N;46;Sim
AN02;32;1011193;N;N;46;Sim
AN02;33;1004291;N;S;46;Sim
AN02;34;1005509;S;N;46;Sim
AN02;35;1006921;N;N;46;Sim
AN02;36;1007368;S;N;46;Sim
AN02;37;1008590;N;N;46;Sim
AN02;38;1009351;N;N;45;Sim
AN02;39;1003696;N;N;45;Sim
AN02;40;1000054;S;N;45;Sim
AN02;41;1012891;N;N;45;Sim
AN02;42;1011976;N;N;45;Sim
AN02;43;1011282;N;S;45;Sim
AN02;44;1003064;N;N;45;Sim
AN02;45;1010885;N;N;45;Sim
AN02;46;1005730;S;N;45;Sim
AN02;47;1010179;S;N;45;Sim
AN02;48;1011165;N;N;45;Sim
AN02;49;1011824;S;N;45;Sim
AN02;50;1001140;S;N;45;Sim
AN02;51;1010177;S;N;45;Sim
AN02;52;1002171;S;N;45;Sim
AN02;53;1012437;N;N;45;Sim
AN02;54;1002344;S;N;45;Sim
AN02;55;1003304;N;N;45;Sim
AN02;56;1000331;N;N;45;Sim
AN02;57;1010110;N;N;44;Sim
AN02;58;1012475;S;N;44;Sim
AN02;59;1013124;N;N;44;Sim
AN02;60;1009414;N;N;44;Sim
AN02;61;1009158;S;N;44;Sim
AN02;62;1008760;N;N;44;Sim
AN02;63;1014150;N;N;44;Sim
AN02;64;1006601;N;N;44;Sim
AN02;65;1003782;N;N;44;Sim
AN02;66;1012967;N;N;44;Sim
AN02;67;1013920;S;N;44;Sim
AN02;68;1014429;N;N;44;Sim
AN02;69;1002164;N;N;44;Sim
AN02;70;1012509;N;N;44;Sim
AN02;71;1000582;N;N;44;Sim
AN02;72;1006713;N;N;44;Sim
AN02;73;1005220;N;N;44;Sim
AN02;74;1011866;N;N;44;Sim
AN02;75;1002741;N;N;44;Sim
AN02;76;1007561;N;N;44;Sim
AN02;77;1004646;S;N;44;Sim
AN02;78;1011233;S;N;44;Sim
AN02;79;1012663;N;N;44;Sim
AN02;80;1009927;N;N;43;Não
AN02;81;1011813;N;N;43;Não
AN02;82;1011790;N;N;43;Não
AN02;83;1011714;S;N;43;Sim
AN02;84;1007752;N;N;43;Não
AN02;85;1004313;N;N;43;Não
AN02;86;1010806;N;N;43;Não
AN02;87;1003502;N;N;43;Não
AN02;88;1000186;S;N;43;Sim
AN02;89;1012905;N;S;43;Sim
AN02;90;1009911;N;N;43;Não
AN02;91;1010115;N;N;43;Não
AN02;92;1012071;N;N;43;Não
AN02;93;1000511;N;S;43;Sim
AN02;94;1002690;N;N;43;Não
AN02;95;1000884;N;N;43;Não
AN02;96;1000786;N;N;43;Não
AN02;97;1012765;N;N;43;Não
AN02;98;1011273;N;N;43;Não
AN02;99;1005918;N;N;43;Não
AN02;100;1011890;N;N;43;Não
AN02;101;1004024;N;N;43;Não
AN02;102;1003962;N;N;43;Não
AN02;103;1012401;S;N;43;Sim
AN02;104;1014048;N;N;43;Não
AN02;105;1004748;N;N;43;Não
AN02;106;1014558;N;N;43;Não
AN02;107;1001126;N;N;43;Não
AN02;108;1005862;N;N;43;Não
AN02;109;1014448;N;N;43;Não
AN02;110;1012128;S;N;42;Sim
AN02;111;1007885;N;N;42;Não
AN02;112;1014534;N;N;42;Não
AN02;113;1006643;S;N;42;Sim
AN02;114;1013440;S;N;42;Sim
AN02;115;1004126;N;N;42;Não
AN02;116;1010645;S;N;42;Sim
AN02;117;1011803;S;N;42;Sim
AN02;118;1013648;N;N;42;Não
AN02;119;1002975;N;S;42;Sim
AN02;120;1004810;S;S;42;Sim
AN02;121;1011100;N;N;42;Não
AN02;122;1002390;N;N;42;Não
AN02;123;1006068;N;N;42;Não
AN02;124;1012914;N;N;42;Não
AN02;125;1011075;N;N;42;Não
AN02;126;1007496;N;N;42;Não
AN02;127;1002377;N;N;42;Não
AN02;128;1000926;N;N;42;Não
AN02;129;1005064;S;N;42;Sim
AN02;130;1002723;N;N;42;Não
AN02;131;1002607;N;N;42;Não
AN02;132;1010890;N;N;42;Não
AN02;133;1008757;N;N;42;Não
AN02;134;1010827;N;N;41;Não
AN02;135;1011385;N;N;41;Não
AN02;136;1000340;S;N;41;Sim
AN02;137;1008893;S;N;41;Sim
AN02;138;1008335;N;N;41;Não
AN02;139;1001046;N;N;41;Não
AN02;140;1013695;N;N;41;Não
AN02;141;1004754;N;N;41;Não
AN02;142;1001055;N;N;41;Não
AN02;143;1003619;N;N;41;Não
AN02;144;1005917;S;N;41;Sim
AN02;145;1000751;S;N;41;Sim
AN02;146;1001554;N;N;41;Não
AN02;147;1008541;N;N;41;Não
AN02;148;1006739;S;N;41;Sim
AN02;149;1010208;S;N;41;Sim
AN02;150;1008936;N;N;41;Não
AN02;151;1011049;N;N;41;Não
AN02;152;1007396;N;N;41;Não
AN02;153;1006460;N;N;41;Não
AN02;154;1008527;N;N;41;Não
AN02;155;1007282;S;N;41;Sim
AN02;156;1014814;N;N;41;Não
AN02;157;1007404;N;N;41;Não
AN02;158;1011250;N;N;41;Não
AN02;159;1010361;N;N;41;Não
AN02;160;1007604;N;N;41;Não
AN02;161;1007528;N;N;40;Não
AN02;162;1002315;N;N;40;Não
AN02;163;1007072;S;N;40;Sim
AN02;164;1005341;N;N;40;Não
AN02;165;1013896;N;N;40;Não
AN02;166;1011317;N;N;40;Não
AN02;167;1005080;S;N;40;Sim
AN02;168;1008725;N;N;40;Não
AN02;169;1007517;N;N;40;Não
AN02;170;1003074;N;N;40;Não
AN02;171;1000302;N;N;40;Não
AN02;172;1013868;N;N;40;Não
AN02;173;1005785;S;N;40;Sim
AN02;174;1014593;N;S;40;Sim
AN02;175;1009980;N;N;40;Não
AN02;176;1010410;S;N;40;Sim
AN02;177;1004862;S;N;40;Sim
AN02;178;1012732;N;N;40;Não
AN02;179;1006414;N;N;40;Não
AN02;180;1009724;N;N;40;Não
AN02;181;1012359;N;N;40;Não
AN02;182;1001724;N;N;40;Não
AN02;183;1000914;N;N;40;Não
AN02;184;1001630;S;N;40;Sim
AN02;185;1000617;N;N;40;Não
AN02;186;1009235;N;N;40;Não
AN02;187;1000989;N;N;40;Não
AN02;188;1012849;S;N;40;Sim
AN02;189;1002706;S;N;40;Sim
AN02;190;1013215;N;N;40;Não
AN02;191;1007743;S;N;40;Sim
AN02;192;1013203;S;N;40;Sim
AN02;193;1010035;N;N;40;Não
AN02;194;1009554;N;N;40;Não
AN02;195;1007782;N;N;40;Não
AN02;196;1006055;N;N;40;Não
AN02;197;1008355;N;N;39;Não
AN02;198;1000235;N;N;39;Não
AN02;199;1012937;N;N;39;Não
AN02;200;1004980;N;N;39;Não
AN02;201;1009771;N;N;39;Não
AN02;202;1012055;N;N;39;Não
AN02;203;1007218;N;N;39;Não
AN02;204;1014470;N;N;39;Não
AN02;205;1002916;S;N;39;Sim
AN02;206;1013426;S;N;39;Sim
AN02;207;1006869;N;N;39;Não
AN02;208;1013979;N;N;39;Não
