cargo;inscricao;Q1;NFDiscur
AN01;1000393;15,000;15,000
AN01;1011478;19,000;19,000
AN01;1000102;15,000;15,000
AN01;1011036;16,000;16,000
AN01;1003090;15,000;15,000
AN01;1000529;4,500;4,500
AN01;1010597;7,500;7,500
AN01;1009872;11,000;11,000
AN01;1012521;13,000;13,000
AN01;1008493;16,000;16,000
AN01;1003465;15,000;15,000
AN01;1013128;10,500;10,500
AN01;1001435;1,500;1,500
AN01;1000444;11,000;11,000
AN01;1009103;4,500;4,500
AN01;1013841;8,000;8,000
AN01;1013611;6,500;6,500
AN01;1002650;9,500;9,500
AN01;1000072;7,250;7,250
AN01;1009595;10,000;10,000
AN01;1000492;4,000;4,000
AN01;1001105;5,000;5,000
AN01;1010125;1,000;1,000
AN01;1003925;11,000;11,000
AN01;1003777;15,000;15,000
AN01;1005143;5,000;5,000
AN01;1003723;2,500;2,500
AN01;1009487;12,000;12,000
AN01;1007384;15,000;15,000
AN01;1012731;12,500;12,500
AN01;1010947;8,000;8,000
AN01;1011551;15,000;15,000
AN01;1000556;3,000;3,000
AN01;1007557;21,000;21,000
AN01;1005314;1,500;1,500
AN01;1013267;12,000;12,000
AN01;1012018;1,500;1,500
AN01;1007650;16,000;16,000
AN01;1007736;9,000;9,000
AN01;1010406;21,000;21,000
AN01;1014119;15,500;15,500
AN01;1006323;12,500;12,500
AN01;1012291;10,000;10,000
AN01;1006895;3,500;3,500
AN01;1014115;15,500;15,500
AN01;1009224;6,500;6,500
AN01;1005870;11,000;11,000
AN01;1010657;19,000;19,000
AN01;1000880;6,000;6,000
AN01;1008302;12,000;12,000
AN01;1012524;16,000;16,000
AN01;1001874;16,000;16,000
AN01;1007019;15,000;15,000
AN01;1003839;15,500;15,500
AN01;1011081;18,000;18,000
AN01;1008490;17,500;17,500
AN01;1006130;11,000;11,000
AN01;1000654;15,000;15,000
AN01;1004586;6,500;6,500
AN01;1011358;12,000;12,000
AN01;1003679;19,500;19,500
AN01;1003135;18,000;18,000
AN01;1014643;15,500;15,500
AN01;1003251;7,000;7,000
AN01;1006250;18,000;18,000
AN01;1001682;11,000;11,000
AN01;1000380;4,000;4,000
AN01;1006967;8,000;8,000
AN01;1004707;4,500;4,500
AN01;1002946;19,000;19,000
AN01;1006158;16,000;16,000
AN01;1008574;9,000;9,000
AN01;1009782;15,000;15,000
AN01;1000086;8,000;8,000
AN01;1011415;17,000;17,000
AN01;1012112;15,000;15,000
AN01;1006254;17,000;17,000
AN01;1009098;4,000;4,000
AN01;1001415;8,000;8,000
AN01;1013523;17,000;17,000
AN01;1001561;3,000;3,000
AN01;1001153;6,000;6,000
AN01;1003467;15,000;15,000
AN01;1000056;5,500;5,500
AN01;1009790;15,000;15,000
AN01;1000442;1,000;1,000
AN01;1012279;7,000;7,000
AN01;1002232;12,000;12,000
AN01;1001758;18,000;18,000
AN01;1010390;6,000;6,000
AN01;1007451;16,000;16,000
AN01;1010537;10,500;10,500
AN01;1012620;7,500;7,500
AN01;1013144;19,000;19,000
AN01;1012458;13,000;13,000
AN01;1009272;15,000;15,000
AN01;1002409;15,000;15,000
AN01;1001671;8,500;8,500
AN01;1003824;12,500;12,500
AN01;1003934;1,000;1,000
AN01;1012323;15,500;15,500
AN01;1004105;15,000;15,000
AN01;1009084;6,000;6,000
AN01;1001541;6,000;6,000
AN01;1007160;26,000;26,000
AN01;1010600;15,000;15,000
AN01;1003859;15,500;15,500
AN01;1011903;15,000;15,000
AN01;1014813;11,000;11,000
AN01;1012917;19,000;19,000
AN01;1008266;19,000;19,000
AN01;1009992;15,500;15,500
AN01;1005925;17,500;17,500
AN01;1007607;28,000;28,000
AN01;1009160;1,500;1,500
AN01;1007579;17,500;17,500
AN01;1004529;4,500;4,500
AN01;1006088;8,000;8,000
AN01;1005438;10,000;10,000
AN01;1001190;5,000;5,000
AN01;1000530;11,000;11,000
AN01;1005381;18,500;18,500
AN01;1012476;1,000;1,000
AN01;1002612;13,500;13,500
AN01;1000875;15,000;15,000
AN01;1012392;12,000;12,000
AN01;1002439;6,000;6,000
AN01;1000059;4,000;4,000
AN01;1007926;4,000;4,000
AN01;1010979;10,000;10,000
AN01;1005663;7,000;7,000
AN01;1014707;11,500;11,500
AN01;1007418;21,000;21,000
AN01;1008804;1,500;1,500
AN01;1010272;12,500;12,500
AN01;1008895;4,000;4,000
AN01;1002302;8,000;8,000
AN01;1012162;22,500;22,500
AN01;1004496;15,000;15,000
AN01;1010535;16,000;16,000
AN02;1000761;26,000;26,000
AN02;1004250;18,000;18,000
AN02;1011714;8,500;8,500
AN02;1000751;18,000;18,000
AN02;1001337;22,500;22,500
AN02;1002648;6,500;6,500
AN02;1002916;1,500;1,500
AN02;1003227;4,500;4,500
AN02;1004291;15,000;15,000
AN02;1014150;16,000;16,000
AN02;1010179;6,500;6,500
AN02;1011772;7,000;7,000
AN02;1008638;11,000;11,000
AN02;1007290;20,500;20,500
AN02;1000186;17,000;17,000
AN02;1002696;15,000;15,000
AN02;1014853;3,000;3,000
AN02;1002344;9,500;9,500
AN02;1006921;12,500;12,500
AN02;1003064;15,000;15,000
AN02;1006643;16,000;16,000
AN02;1011071;18,500;18,500
AN02;1007504;7,500;7,500
AN02;1000331;12,500;12,500
AN02;1011233;12,000;12,000
AN02;1005509;15,000;15,000
AN02;1007213;21,000;21,000
AN02;1000582;22,500;22,500
AN02;1010385;9,500;9,500
AN02;1002706;20,000;20,000
AN02;1007368;7,500;7,500
AN02;1013475;12,000;12,000
AN02;1014392;5,500;5,500
AN02;1000826;18,000;18,000
AN02;1005175;11,500;11,500
AN02;1010224;15,000;15,000
AN02;1001618;21,000;21,000
AN02;1007072;10,500;10,500
AN02;1011395;19,500;19,500
AN02;1002472;4,500;4,500
AN02;1002020;15,000;15,000
AN02;1007647;18,000;18,000
AN02;1001582;17,000;17,000
AN02;1011208;10,500;0,500
AN02;1011492;15,500;15,500
AN02;1013920;16,500;16,500
AN02;1010208;15,000;15,000
AN02;1007282;11,000;11,000
AN02;1007236;11,500;11,500
AN02;1003564;19,000;19,000
AN02;1012905;18,000;18,000
AN02;1002549;16,000;16,000
AN02;1000835;9,500;9,500
AN02;1006601;8,500;8,500
