Cargo;Class;Inscricao;Concorre Vagas Negros;Concorre Vagas PCD;NFDiscur;Habilitado
PE01;1;3003732;N;N;230;Sim
PE01;2;3000077;N;S;225;Sim
PE01;3;3002817;N;N;187.5;Sim
PE01;4;3002200;N;N;132.5;Sim
PE01;5;3002123;N;N;130;Sim
PE02;1;3001121;N;N;240.625;Sim
PE02;2;3001200;N;N;234.375;Sim
PE02;3;3002937;S;N;234.375;Sim
PE02;4;3001762;N;N;234.375;Sim
PE02;5;3002794;N;N;221.875;Sim
PE02;6;3002122;N;N;218.75;Não
PE02;7;3002885;N;N;215.625;Não
PE02;8;3002852;S;N;209.375;Sim
PE02;9;3001347;N;N;203.125;Não
PE02;10;3004187;N;N;203.125;Não
PE02;11;3002542;N;N;190.625;Não
PE02;12;3003067;S;N;187.5;Sim
PE02;13;3000767;N;N;184.375;Não
PE02;14;3001782;N;N;168.75;Não
PE02;15;3001130;N;N;162.5;Não
PE02;16;3003150;N;N;143.75;Não
PE03;1;3003549;N;N;85;Sim
PE03;2;3002891;N;N;80;Sim
PE03;3;3001842;N;S;78;Sim
PE03;4;3002993;N;N;75;Sim
PE03;5;3002420;N;N;75;Sim
PE03;6;3002945;N;N;70;Sim
PE03;7;3001785;N;N;68;Sim
PE03;8;3002784;N;N;68;Sim
PE03;9;3003310;N;N;65;Sim
PE03;10;3001948;N;N;60;Sim
PE03;11;3000823;N;N;60;Sim
PE03;12;3002263;N;N;55;Sim
PE03;13;3000565;N;N;55;Sim
PE03;14;3004276;N;N;55;Sim
PE03;15;3003566;N;N;53;Sim
PE03;16;3001367;N;N;50;Sim
PE03;17;3002410;N;N;50;Sim
PE03;18;3000574;N;N;50;Sim
PE03;19;3001766;N;N;50;Sim
PE03;20;3000064;N;N;50;Sim
PE03;21;3003020;N;N;50;Sim
PE03;22;3002361;N;N;50;Sim
PE03;23;3002592;N;N;50;Sim
PE03;24;3002207;N;N;50;Sim
PE03;25;3001463;N;N;50;Sim
PE03;26;3002540;N;N;50;Sim
PE04;1;3000389;N;N;80;Sim
PE04;2;3001371;N;N;75;Sim
PE04;3;3001653;N;N;75;Sim
PE04;4;3004519;N;N;75;Sim
PE04;5;3002854;N;N;75;Sim
PE04;6;3001602;N;N;75;Sim
PE04;7;3001565;N;N;70;Não
PE04;8;3003981;N;N;70;Não
PE04;9;3003840;N;N;70;Não
PE04;10;3001369;N;N;70;Não
PE04;11;3004333;N;N;70;Não
PE04;12;3001611;N;N;70;Não
PE04;13;3000929;N;N;70;Não
PE04;14;3001799;S;N;65;Sim
PE04;15;3002533;N;N;65;Não
PE04;16;3002310;N;N;65;Não
PE04;17;3001081;N;N;65;Não
PE04;18;3004525;N;N;60;Não
PE04;19;3004618;N;N;60;Não
PE04;20;3004279;N;N;60;Não
PE04;21;3004044;N;N;55;Não
PE04;22;3003855;N;N;55;Não
PE04;23;3000110;N;N;55;Não
PE04;24;3002758;N;N;55;Não
PE04;25;3002413;S;N;55;Sim
PE04;26;3002002;N;N;55;Não
PE04;27;3000633;N;N;50;Não
PE05;1;3001315;N;N;78;Sim
PE05;2;3002367;N;N;70;Sim
PE05;3;3000130;N;N;69.5;Sim
PE05;4;3000126;N;N;69;Sim
PE05;5;3001278;N;N;68;Sim
PE05;6;3000494;N;N;66.5;Não
PE05;7;3003212;N;N;66;Não
PE05;8;3000042;N;N;65;Não
