Inscricao;Perfil;Cargo;Estado;Concorre Vaga Ampla Concorrência;Concorre Vagas Reservadas às pessoas com deficiência;Concorre Vagas reservadas aos candidatos negros;Cidade onde realizará a 1a Etapa das Provas;Estado onde realizará a 1a Etapa das Provas
3001932;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Sim;Fortaleza;CE
3003972;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002394;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3003654;PE80;Desenvolvimento de metodologias de identificação e quantificação de nano produtos sujeitos à vigilância sanitária;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001581;PE26;Biologia e biodiversidade em saúde com ênfase em vetores e parasitas de doenças negligenciadas;Teresina;Sim;Não;Não;Teresina;PI
3002665;PE73;Análise Estatística em Pesquisa Clínica;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000955;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Sim;Belo Horizonte;MG
3000761;PE57;Vigilância em Saúde;Brasília;Sim;Não;Sim;Brasília;DF
3004082;PE37;Planejamento, Financiamento e Modelos de Gestão e Atenção à Saúde;Manaus;Sim;Não;Não;Manaus;AM
3000452;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001657;PE26;Biologia e biodiversidade em saúde com ênfase em vetores e parasitas de doenças negligenciadas;Teresina;Sim;Não;Não;Porto Velho;RO
3000283;PE25;Química de Produtos Naturais aplicada a região do Cerrado Pantanal;Campo Grande;Sim;Não;Não;Belo Horizonte;MG
3000789;PE19;Educação profissional de nível médio com ênfase em trabalho e educação em saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003777;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Não;Rio de Janeiro;RJ
3003307;PE65;Epidemiologista Social;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002474;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3002098;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Campo Grande;MS
